Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"Down on the Corner","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291383/down-on-the-corner,1.5,-1,Sport,5.7,1,30,35.94466,-83.87729
"Dark Side of the Moon","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291455/dark-side-of-the-moon,1.9,-1,Sport,5.7,1,35,35.94466,-83.87729
"Travelling Man","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291508/travelling-man,2.3,-1,Sport,5.8,1,40,35.94466,-83.87729
Rigby,"Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291827/rigby,2.3,-1,Sport,5.8,1,35,35.94466,-83.87729
"Johnny's Quest","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291866/johnnys-quest,1.4,-1,Sport,5.8,1,50,35.94466,-83.87729
"Krusty the Klown","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291877/krusty-the-klown,1.6,-1,Sport,5.8,1,50,35.94466,-83.87729
Mordecai,"Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291813/mordecai,2.7,-1,Sport,5.9,1,35,35.94466,-83.87729
"Joker and the Thief","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291496/joker-and-the-thief,2.1,-1,Sport,5.9+,1,40,35.94466,-83.87729
"The Candlestick Maker","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291678/the-candlestick-maker,0.5,-1,Sport,5.9+,1,30,35.94466,-83.87729
"Muscle Man","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291822/muscle-man,2.1,-1,Sport,5.9+,1,35,35.94466,-83.87729
"High Five Ghost","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291847/high-five-ghost,2.5,-1,Sport,5.10a,1,55,35.94466,-83.87729
Madelade,"Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291910/madelade,3.1,-1,Sport,5.10a,1,50,35.94466,-83.87729
Pops,"Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291784/pops,2.0,-1,Sport,5.10b,1,30,35.94466,-83.87729
Suttree,"Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291991/suttree,2.6,-1,Sport,5.10b,1,50,35.94466,-83.87729
Raksha,"Ijams Crag > Tennessee",https://www.mountainproject.com/route/112333902/raksha,2.1,-1,Sport,5.10b,1,60,35.94466,-83.87729
Thunderstruck,"Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291600/thunderstruck,2.5,-1,"Sport, TR",5.10,1,60,35.94466,-83.87729
Carcosa,"Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291887/carcosa,0.9,-1,Sport,5.10,1,35,35.94466,-83.87729
"Use Me","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291530/use-me,2.6,-1,Sport,5.10b/c,1,45,35.94466,-83.87729
"Master of Puppets","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291413/master-of-puppets,2.2,-1,Sport,5.10c,1,30,35.94466,-83.87729
"SE Climbing","Ijams Crag > Tennessee",https://www.mountainproject.com/route/112291576/se-climbing,2.6,-1,Sport,5.10c/d,1,60,35.94466,-83.87729
