Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Popeye,"Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/111745832/popeye,3.3,-1,Boulder,V3,1,,36.10533,-84.72294
"Ape Man","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/115315480/ape-man,2.0,-1,Boulder,V3,1,15,36.10533,-84.72294
"Shut up boy, I ain't your paw!","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/115315495/shut-up-boy-i-aint-your-paw,1.0,-1,Boulder,V3,1,20,36.10533,-84.72294
"In Steve we trust!","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/121364687/in-steve-we-trust,2.0,-1,Boulder,V3,1,,36.10533,-84.72294
Blutus,"Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/123367578/blutus,2.0,-1,Boulder,V3-4,1,,36.10533,-84.72294
"Hemlock Arete","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/108549027/hemlock-arete,3.5,-1,Boulder,V4,1,,36.10533,-84.72294
"Peter Tosh","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/115315457/peter-tosh,3.0,-1,Boulder,V4,1,12,36.10533,-84.72294
"Slam Dunk","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/108549032/slam-dunk,2.9,-1,Boulder,V5,1,,36.10533,-84.72294
"Now or Later","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/115315468/now-or-later,2.7,-1,Boulder,V6,1,15,36.10533,-84.72294
"Jack Slap","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/114052386/jack-slap,3.1,-1,Boulder,V7,1,12,36.10533,-84.72294
"Oil Change","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/115315490/oil-change,3.0,-1,Boulder,V7,1,20,36.10533,-84.72294
"Jack Slap Low","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/118108324/jack-slap-low,3.1,-1,Boulder,V8-,1,15,36.10533,-84.72294
"Hemlock Traverse","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/113323365/hemlock-traverse,3.8,-1,Boulder,V8,1,35,36.10533,-84.72294
"Dave Hume Problem","Hemlock Boulder > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/114058869/dave-hume-problem,4.0,-1,Boulder,V10,1,20,36.10533,-84.72294
"420% Tilt","Tilted World > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/111755767/420-tilt,2.8,-1,Boulder,V4,1,,36.10652,-84.72286
"Tilted Warrior","Tilted World > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/111755778/tilted-warrior,3.0,-1,Boulder,V6,1,,36.10652,-84.72286
Whirlpool,"Tilted World > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/108715151/whirlpool,3.0,-1,Boulder,V8+,1,15,36.10652,-84.72286
"Tilted World","Tilted World > Lilly Boulders > Obed & Clear Creek > Tennessee",https://www.mountainproject.com/route/114322445/tilted-world,4.0,-1,Boulder,V13,1,,36.10652,-84.72286
